"filename", "language", "TypeScript", "HTML", "SCSS", "vue", "PostCSS", "XML", "comment", "blank", "total"
"d:\HTML\vue3\vue-useProject\src\components\ExpCard.vue", "vue", 0, 0, 0, 114, 0, 0, 0, 14, 128
"d:\HTML\vue3\vue-useProject\src\components\FirmwareList.vue", "vue", 0, 0, 0, 62, 0, 0, 0, 8, 70
"d:\HTML\vue3\vue-useProject\src\components\FirmwareUpgradeModal.vue", "vue", 0, 0, 0, 188, 0, 0, 0, 25, 213
"d:\HTML\vue3\vue-useProject\src\components\FirmwareUploadModal.vue", "vue", 0, 0, 0, 91, 0, 0, 0, 12, 103
"d:\HTML\vue3\vue-useProject\src\components\PageMainHeader.vue", "vue", 0, 0, 0, 79, 0, 0, 0, 10, 89
"d:\HTML\vue3\vue-useProject\src\components\ResizableLayout.vue", "vue", 0, 0, 0, 99, 0, 0, 0, 18, 117
"d:\HTML\vue3\vue-useProject\src\components\SerialConnectionPanel.vue", "vue", 0, 0, 0, 393, 0, 0, 0, 56, 449
"d:\HTML\vue3\vue-useProject\src\components\StatCard.vue", "vue", 0, 0, 0, 139, 0, 0, 0, 23, 162
"d:\HTML\vue3\vue-useProject\src\components\StatusBadge.vue", "vue", 0, 0, 0, 87, 0, 0, 0, 16, 103
"d:\HTML\vue3\vue-useProject\src\components\studio\StudioTerminal.vue", "vue", 0, 0, 0, 586, 0, 0, 7, 87, 680
"d:\HTML\vue3\vue-useProject\src\components\studio\action\ActionBuilder.vue", "vue", 0, 0, 0, 96, 0, 0, 0, 17, 113
"d:\HTML\vue3\vue-useProject\src\components\studio\action\SmartActionItem.vue", "vue", 0, 0, 0, 115, 0, 0, 0, 19, 134
"d:\HTML\vue3\vue-useProject\src\components\studio\trigger\SmartTriggerItem.vue", "vue", 0, 0, 0, 185, 0, 0, 0, 31, 216
"d:\HTML\vue3\vue-useProject\src\components\studio\trigger\TriggerBuilder.vue", "vue", 0, 0, 0, 161, 0, 0, 0, 27, 188
"d:\HTML\vue3\vue-useProject\src\composables\useDashboard.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 5, 5, 69
"d:\HTML\vue3\vue-useProject\src\composables\useDataExport.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 20, 15, 95
"d:\HTML\vue3\vue-useProject\src\composables\useDeviceActions.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 5, 6, 43
"d:\HTML\vue3\vue-useProject\src\composables\useDeviceList.ts", "TypeScript", 97, 0, 0, 0, 0, 0, 8, 14, 119
"d:\HTML\vue3\vue-useProject\src\composables\useDeviceLogs.ts", "TypeScript", 115, 0, 0, 0, 0, 0, 18, 23, 156
"d:\HTML\vue3\vue-useProject\src\composables\useDeviceSummary.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 12, 10, 74
"d:\HTML\vue3\vue-useProject\src\composables\useExpDashboard.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 37, 27, 166
"d:\HTML\vue3\vue-useProject\src\composables\useFirmwareManagement.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 20, 10, 90
"d:\HTML\vue3\vue-useProject\src\composables\useFirmwareUpgrade.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 17, 19, 121
"d:\HTML\vue3\vue-useProject\src\composables\useProducts.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 9, 5, 43
"d:\HTML\vue3\vue-useProject\src\composables\useSerialPort.ts", "TypeScript", 270, 0, 0, 0, 0, 0, 28, 40, 338
"d:\HTML\vue3\vue-useProject\src\composables\useTheme.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 3, 5, 31
"d:\HTML\vue3\vue-useProject\src\composables\useUpgradeCampaigns.ts", "TypeScript", 88, 0, 0, 0, 0, 0, 11, 16, 115
"d:\HTML\vue3\vue-useProject\src\constants\device.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 5, 1, 16
"d:\HTML\vue3\vue-useProject\src\constants\dictionaries.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 4, 2, 19
"d:\HTML\vue3\vue-useProject\src\layouts\AppLayout.vue", "vue", 0, 0, 0, 82, 0, 0, 0, 14, 96
"d:\HTML\vue3\vue-useProject\src\layouts\StudioLayout.vue", "vue", 0, 0, 0, 320, 0, 0, 0, 47, 367
"d:\HTML\vue3\vue-useProject\src\main.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 4, 7, 31
"d:\HTML\vue3\vue-useProject\src\router\index.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 14, 6, 97
"d:\HTML\vue3\vue-useProject\src\router\modules\product.ts", "TypeScript", 100, 0, 0, 0, 0, 0, 5, 2, 107
"d:\HTML\vue3\vue-useProject\src\stores\authStore.ts", "TypeScript", 116, 0, 0, 0, 0, 0, 11, 26, 153
"d:\HTML\vue3\vue-useProject\src\stores\productContext.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 4, 7, 50
"d:\HTML\vue3\vue-useProject\src\stores\studioStore.ts", "TypeScript", 370, 0, 0, 0, 0, 0, 46, 46, 462
"d:\HTML\vue3\vue-useProject\src\styles\element-overwrite.scss", "SCSS", 0, 0, 40, 0, 0, 0, 8, 9, 57
"d:\HTML\vue3\vue-useProject\src\styles\studio.scss", "SCSS", 0, 0, 47, 0, 0, 0, 5, 7, 59
"d:\HTML\vue3\vue-useProject\src\styles\theme-var.scss", "SCSS", 0, 0, 33, 0, 0, 0, 8, 10, 51
"d:\HTML\vue3\vue-useProject\src\types\automation.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 11, 9, 61
"d:\HTML\vue3\vue-useProject\src\types\dashboard.d.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 13, 6, 77
"d:\HTML\vue3\vue-useProject\src\types\index.ts", "TypeScript", 143, 0, 0, 0, 0, 0, 41, 31, 215
"d:\HTML\vue3\vue-useProject\src\types\panel.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 7, 6, 90
"d:\HTML\vue3\vue-useProject\src\types\product-config.ts", "TypeScript", 121, 0, 0, 0, 0, 0, 13, 13, 147
"d:\HTML\vue3\vue-useProject\src\types\product.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 8, 7, 55
"d:\HTML\vue3\vue-useProject\src\types\studio.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 21, 13, 117
"d:\HTML\vue3\vue-useProject\src\types\timer.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 7, 6, 47
"d:\HTML\vue3\vue-useProject\src\utils\formatters.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 14, 12, 70
"d:\HTML\vue3\vue-useProject\src\utils\logParser.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 18, 8, 59
"d:\HTML\vue3\vue-useProject\src\utils\markdown.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 5, 2, 21
"d:\HTML\vue3\vue-useProject\src\utils\serial.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 11, 7, 51
"d:\HTML\vue3\vue-useProject\src\views\Login.vue", "vue", 0, 0, 0, 315, 0, 0, 0, 49, 364
"d:\HTML\vue3\vue-useProject\src\views\Overview.vue", "vue", 0, 0, 0, 264, 0, 0, 0, 38, 302
"d:\HTML\vue3\vue-useProject\src\views\dashboard\BackendDebug.vue", "vue", 0, 0, 0, 303, 0, 0, 1, 34, 338
"d:\HTML\vue3\vue-useProject\src\views\dashboard\ExpOverview.vue", "vue", 0, 0, 0, 207, 0, 0, 1, 28, 236
"d:\HTML\vue3\vue-useProject\src\views\dashboard\components\ActivityList.vue", "vue", 0, 0, 0, 156, 0, 0, 0, 25, 181
"d:\HTML\vue3\vue-useProject\src\views\dashboard\components\AiCommandBar.vue", "vue", 0, 0, 0, 80, 0, 0, 0, 12, 92
"d:\HTML\vue3\vue-useProject\src\views\dashboard\components\AiDiagnosisModal.vue", "vue", 0, 0, 0, 104, 0, 0, 0, 20, 124
"d:\HTML\vue3\vue-useProject\src\views\dashboard\components\ChartContainer.vue", "vue", 0, 0, 0, 85, 0, 0, 0, 15, 100
"d:\HTML\vue3\vue-useProject\src\views\dashboard\components\ProductMatrix.vue", "vue", 0, 0, 0, 231, 0, 0, 0, 38, 269
"d:\HTML\vue3\vue-useProject\src\views\dashboard\components\StatCard.vue", "vue", 0, 0, 0, 136, 0, 0, 0, 20, 156
"d:\HTML\vue3\vue-useProject\src\views\device\DeviceList.vue", "vue", 0, 0, 0, 252, 0, 0, 0, 42, 294
"d:\HTML\vue3\vue-useProject\src\views\device\DeviceLog.vue", "vue", 0, 0, 0, 491, 0, 0, 0, 81, 572
"d:\HTML\vue3\vue-useProject\src\views\device\components\DeviceBatchActionBar.vue", "vue", 0, 0, 0, 63, 0, 0, 0, 7, 70
"d:\HTML\vue3\vue-useProject\src\views\device\components\DeviceDetailDrawer.vue", "vue", 0, 0, 0, 149, 0, 0, 0, 16, 165
"d:\HTML\vue3\vue-useProject\src\views\device\components\DeviceListTable.vue", "vue", 0, 0, 0, 127, 0, 0, 0, 21, 148
"d:\HTML\vue3\vue-useProject\src\views\device\components\DeviceStatsOverview.vue", "vue", 0, 0, 0, 41, 0, 0, 0, 6, 47
"d:\HTML\vue3\vue-useProject\src\views\device\components\DeviceTableToolbar.vue", "vue", 0, 0, 0, 129, 0, 0, 0, 22, 151
"d:\HTML\vue3\vue-useProject\src\views\device\components\LogPayloadPopover.vue", "vue", 0, 0, 0, 160, 0, 0, 0, 25, 185
"d:\HTML\vue3\vue-useProject\src\views\experiment\SerialTerminal.vue", "vue", 0, 0, 0, 239, 0, 0, 0, 39, 278
"d:\HTML\vue3\vue-useProject\src\views\experiment\components\SerialExtraWidgets.vue", "vue", 0, 0, 0, 60, 0, 0, 0, 10, 70
"d:\HTML\vue3\vue-useProject\src\views\experiment\components\SerialLogViewer.vue", "vue", 0, 0, 0, 293, 0, 0, 0, 50, 343
"d:\HTML\vue3\vue-useProject\src\views\experiment\components\SerialQuickActions.vue", "vue", 0, 0, 0, 204, 0, 0, 0, 31, 235
"d:\HTML\vue3\vue-useProject\src\views\experiment\components\SerialToolsSidebar.vue", "vue", 0, 0, 0, 71, 0, 0, 0, 13, 84
"d:\HTML\vue3\vue-useProject\src\views\product\FirmwareManagement.vue", "vue", 0, 0, 0, 141, 0, 0, 0, 24, 165
"d:\HTML\vue3\vue-useProject\src\views\product\ProductCreateWizard.vue", "vue", 0, 0, 0, 265, 0, 0, 0, 44, 309
"d:\HTML\vue3\vue-useProject\src\views\product\ProductManagement.vue", "vue", 0, 0, 0, 108, 0, 0, 0, 22, 130
"d:\HTML\vue3\vue-useProject\src\views\product\components\ProductCard.vue", "vue", 0, 0, 0, 278, 0, 0, 0, 46, 324
"d:\HTML\vue3\vue-useProject\src\views\product\components\ProductStats.vue", "vue", 0, 0, 0, 170, 0, 0, 0, 25, 195
"d:\HTML\vue3\vue-useProject\src\views\product\components\ProductTable.vue", "vue", 0, 0, 0, 243, 0, 0, 0, 41, 284
"d:\HTML\vue3\vue-useProject\src\views\product\components\ProductToolbar.vue", "vue", 0, 0, 0, 124, 0, 0, 0, 21, 145
"d:\HTML\vue3\vue-useProject\src\views\product\components\firmware\ExpCreateTaskWizard.vue", "vue", 0, 0, 0, 619, 0, 0, 0, 96, 715
"d:\HTML\vue3\vue-useProject\src\views\product\components\firmware\ExpFirmwareDeleteModal.vue", "vue", 0, 0, 0, 236, 0, 0, 0, 36, 272
"d:\HTML\vue3\vue-useProject\src\views\product\components\firmware\ExpFirmwareHeader.vue", "vue", 0, 0, 0, 204, 0, 0, 0, 25, 229
"d:\HTML\vue3\vue-useProject\src\views\product\components\firmware\ExpFirmwareUploadWizard.vue", "vue", 0, 0, 0, 592, 0, 0, 0, 92, 684
"d:\HTML\vue3\vue-useProject\src\views\product\components\firmware\ExpFirmwareVerifyModal.vue", "vue", 0, 0, 0, 223, 0, 0, 0, 35, 258
"d:\HTML\vue3\vue-useProject\src\views\product\components\firmware\ExpFirmwareVersionPanel.vue", "vue", 0, 0, 0, 296, 0, 0, 0, 48, 344
"d:\HTML\vue3\vue-useProject\src\views\product\components\firmware\ExpProductSidebar.vue", "vue", 0, 0, 0, 194, 0, 0, 0, 32, 226
"d:\HTML\vue3\vue-useProject\src\views\product\components\firmware\ExpUpgradeTaskPanel.vue", "vue", 0, 0, 0, 368, 0, 0, 0, 57, 425
"d:\HTML\vue3\vue-useProject\src\views\product\components\wizard\CategorySelector.vue", "vue", 0, 0, 0, 209, 0, 0, 0, 27, 236
"d:\HTML\vue3\vue-useProject\src\views\product\components\wizard\CreationSuccess.vue", "vue", 0, 0, 0, 85, 0, 0, 0, 13, 98
"d:\HTML\vue3\vue-useProject\src\views\product\components\wizard\ProductInfoForm.vue", "vue", 0, 0, 0, 448, 0, 0, 0, 67, 515
